class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
e,2.64,f,y,n,f,a,d,p,7.19,4.04,,i,n,,,f,f,,h,u
p,3.5,f,y,e,f,e,c,w,4.29,3.42,,k,w,,,t,e,,d,u
p,9.82,f,h,r,f,,c,w,10.96,16.11,,,w,u,w,t,g,,d,u
p,11.56,x,,n,f,e,,w,10.57,12.88,,,w,u,w,t,g,,d,a
e,2.19,x,,u,f,,d,u,6.31,4.17,,,w,,,f,f,,d,u
e,4.73,c,h,n,f,e,,w,11.3,11.78,,s,w,u,w,f,f,,d,u
e,9.99,x,,n,t,,,w,11.77,16.74,b,,w,u,w,t,g,,d,a
e,17.05,p,y,w,f,,,w,22.38,18.87,s,,n,,,t,m,,m,a
e,16.82,x,e,n,t,e,,w,11.16,18.96,,,w,,,t,,,d,u
p,12.24,f,,g,f,e,,w,11.25,14.56,,,w,u,w,t,e,,d,a
e,2.55,f,y,n,f,d,d,p,7.99,4.23,,i,n,,,f,f,,h,u
p,12.88,f,,n,f,e,,w,11.42,17.71,,,w,u,w,t,e,,d,a
e,8.73,x,,n,t,,,w,11.48,19.53,b,,w,u,w,t,g,,d,u
p,14.74,x,g,e,f,e,,w,17.25,17.38,s,y,w,u,w,t,g,,d,a
p,8.99,x,h,r,f,,c,w,10.93,16.82,,,w,u,w,t,p,,d,a
e,6.37,x,,w,f,e,,w,6.34,12.0,b,,y,u,y,t,g,,d,a
e,15.36,f,y,n,f,,,w,24.85,21.0,s,,n,,,t,m,,m,u
e,5.68,c,h,n,f,e,,w,13.55,13.2,,s,n,u,w,f,f,,d,a
e,12.84,x,y,n,t,e,,w,9.12,16.55,,,w,,,t,,,d,u
p,9.45,f,h,r,f,,c,w,11.15,14.6,,,w,u,w,t,g,,d,a
e,6.95,x,,w,f,e,,w,6.42,14.04,b,,w,u,w,t,g,,d,a
p,3.26,b,y,n,f,e,c,n,4.15,3.35,,k,w,,,t,e,,d,u
p,14.11,x,g,e,f,e,,w,18.16,17.28,s,y,w,u,w,t,g,,d,w
e,5.36,c,t,n,f,e,,w,11.81,10.99,,s,n,u,w,f,f,,d,a
p,10.44,f,h,r,f,,c,w,11.74,15.88,,,w,u,w,t,p,,d,a
p,3.51,f,y,w,f,e,c,w,4.02,3.29,,k,w,,,t,e,,m,u
p,6.81,b,t,w,f,e,c,w,11.93,11.82,,y,w,u,w,t,l,,d,a
p,3.74,x,y,y,f,a,,w,6.21,3.78,,y,y,,,t,r,,g,a
p,4.01,x,y,n,f,a,,w,5.88,3.77,,y,n,,,t,r,,g,u
p,11.48,f,,n,f,e,,w,10.44,14.0,,,w,u,w,t,e,,d,a
e,15.63,x,e,n,t,e,,w,10.37,17.91,,,w,,,t,,,d,u
e,2.89,s,y,n,f,a,d,p,6.67,3.16,,i,n,,,f,f,,h,a
p,11.66,f,,g,f,e,,w,11.08,15.6,,,w,u,w,t,g,,d,u
p,11.53,f,,g,f,e,,w,10.57,13.79,,,w,u,w,t,g,,d,u
e,7.04,x,t,n,f,e,,w,12.48,13.07,,s,n,u,w,f,f,,d,a
p,14.35,f,g,e,f,e,,w,17.27,17.91,s,y,w,u,w,t,g,,d,a
p,6.76,x,h,r,f,,c,w,10.83,13.04,,,w,u,w,t,p,,d,a
p,13.53,x,,n,f,e,,w,10.95,17.36,,,w,u,w,t,g,,d,a
p,13.4,x,,g,f,e,,w,11.06,14.76,,,w,u,w,t,e,,d,a
e,3.21,s,y,n,f,d,d,p,6.98,3.4,,i,n,,,f,f,,h,a
e,5.33,x,h,n,f,e,,w,12.6,12.45,,s,n,u,w,f,f,,d,u
p,13.08,x,,g,f,e,,w,11.34,14.69,,,w,u,w,t,e,,d,a
p,7.89,b,t,w,f,e,c,w,13.26,11.87,,y,w,u,w,t,e,,d,a
p,13.86,x,h,e,f,e,,w,17.13,17.67,s,y,w,u,w,t,g,,d,a
e,2.6,f,y,n,f,a,d,p,6.1,3.44,,i,n,,,f,f,,h,u
p,15.14,x,g,e,f,e,,w,17.04,18.13,s,y,w,u,w,t,p,,d,u
e,5.87,c,t,n,f,e,,w,12.39,11.61,,s,w,u,w,f,f,,d,a
p,7.31,x,g,n,f,e,,w,7.59,14.06,,y,w,u,w,t,p,,d,a
p,2.93,f,y,e,f,e,c,w,4.82,3.42,,k,w,,,t,e,,m,u
p,11.65,x,,n,f,e,,w,10.57,13.14,,,w,u,w,t,e,,d,a
p,4.01,x,y,n,f,a,,w,5.84,3.63,,y,n,,,t,r,,g,u
p,8.06,p,g,n,f,e,,w,7.8,15.95,,y,w,u,w,t,p,,d,a
p,2.76,x,y,y,f,a,,w,5.94,3.82,,y,n,,,t,r,,g,u
p,4.08,f,y,n,f,e,c,n,4.89,3.59,,k,w,,,t,e,,d,a
e,11.33,x,,n,t,,,w,10.39,17.26,b,,w,u,w,t,g,,d,u
p,13.1,f,g,e,f,e,,w,17.26,17.72,s,y,w,u,w,t,p,,d,u
e,7.17,x,,y,f,e,,w,6.19,12.44,b,,w,u,y,t,g,,d,u
p,7.32,f,h,r,f,,c,w,11.06,15.98,,,w,u,w,t,g,,d,u
e,7.6,x,,n,t,,,w,10.63,15.24,b,,w,u,w,t,g,,d,u
e,11.11,f,,n,t,,,w,10.98,16.61,b,,w,u,w,t,g,,d,u
e,14.84,x,e,n,t,e,,w,9.67,17.93,,,w,,,t,,,d,u
p,7.96,p,g,n,f,e,,w,8.89,15.79,,y,w,u,w,t,p,,d,a
p,3.91,f,y,p,f,e,c,n,4.24,3.38,,k,w,,,t,e,,d,u
p,3.99,f,y,p,f,e,c,w,4.88,3.58,,k,w,,,t,e,,d,u
p,7.18,f,h,r,f,,c,w,11.09,13.47,,,w,u,w,t,p,,d,a
p,4.53,b,y,w,f,e,c,w,5.1,3.72,,k,w,,,t,e,,m,u
e,5.8,x,,w,f,e,,w,5.48,12.22,b,,w,u,y,t,g,,d,u
e,6.2,x,,w,f,e,,w,6.17,12.77,b,,w,u,y,t,g,,d,a
p,7.82,p,g,n,f,e,,w,8.03,13.87,,y,w,u,w,t,p,,d,a
p,16.03,x,h,e,f,e,,w,17.25,17.27,s,y,w,u,w,t,p,,d,a
e,19.39,f,y,w,f,,,w,24.36,20.8,s,,n,,,t,m,,d,u
p,8.41,b,t,w,f,e,c,w,11.9,12.33,,y,w,u,w,t,e,,d,a
p,8.51,p,g,n,f,e,,w,8.56,14.97,,y,w,u,w,t,p,,d,a
p,14.63,x,g,e,f,e,,w,17.19,17.77,s,y,w,u,w,t,g,,d,w
e,15.36,x,y,n,t,e,,w,10.53,18.79,,,w,,,t,,,d,a
e,2.4,s,y,n,f,a,d,p,7.38,3.44,,i,n,,,f,f,,l,u
p,6.93,b,t,w,f,e,c,w,11.12,11.26,,y,w,u,w,t,l,,d,a
p,7.38,b,t,w,f,e,c,w,12.08,12.01,,y,w,u,w,t,e,,d,u
e,2.66,f,y,n,f,a,d,p,6.63,3.52,,i,n,,,f,f,,h,u
e,9.85,f,,n,t,,,w,11.35,15.62,b,,w,u,w,t,g,,d,u
e,3.31,x,,u,f,,d,u,6.5,4.93,,,w,,,f,f,,d,w
e,18.96,f,y,n,f,,,w,24.82,21.28,s,,n,,,t,m,,m,u
e,8.37,f,,n,t,,,w,11.59,21.26,b,,w,u,w,t,g,,d,a
p,5.67,x,g,n,f,e,,w,7.18,13.2,,y,w,u,w,t,p,,d,a
p,12.98,x,,n,f,e,,w,11.04,15.64,,,w,u,w,t,g,,d,u
p,7.15,b,t,w,f,e,c,w,11.97,11.75,,y,w,u,w,t,l,,d,a
p,14.13,f,g,o,f,e,,w,17.39,16.52,s,y,w,u,w,t,p,,d,a
e,2.25,x,,u,f,,d,w,6.06,4.39,,,w,,,f,f,,d,w
p,3.49,x,y,y,f,a,,w,5.94,3.54,,y,y,,,t,r,,h,a
p,3.71,x,y,n,f,a,,w,5.73,3.57,,y,y,,,t,r,,h,a
p,7.49,x,g,n,f,e,,w,7.99,14.34,,y,w,u,w,t,p,,d,u
p,7.0,b,t,w,f,e,c,w,12.53,12.57,,y,w,u,w,t,l,,d,u
p,2.96,x,y,y,f,a,,w,4.99,3.24,,y,y,,,t,r,,g,u
e,6.74,x,h,n,f,e,,w,13.68,12.47,,s,n,u,w,f,f,,d,a
e,6.22,c,t,n,f,e,,w,13.29,12.35,,s,n,u,w,f,f,,d,u
e,8.87,f,,n,t,,,w,8.81,14.24,b,,w,u,w,t,g,,d,a
p,9.35,x,h,r,f,,c,w,11.27,15.14,,,w,u,w,t,p,,d,a
p,8.46,b,t,w,f,e,c,w,12.83,13.3,,y,w,u,w,t,l,,d,u
p,6.94,x,g,n,f,e,,w,7.89,15.23,,y,w,u,w,t,p,,d,u
e,6.18,x,,w,f,e,,w,5.92,12.31,b,,w,u,y,t,g,,d,u
e,3.7,s,y,n,f,d,d,p,8.63,4.13,,i,n,,,f,f,,l,u
e,3.92,f,y,n,f,d,d,p,7.55,4.29,,i,n,,,f,f,,l,a
p,3.52,x,y,n,f,a,,w,5.45,3.38,,y,n,,,t,r,,g,u
p,9.31,x,h,r,f,,c,w,11.03,15.05,,,w,u,w,t,p,,d,u
p,7.98,f,h,r,f,,c,w,11.28,15.5,,,w,u,w,t,p,,d,u
p,7.45,x,h,r,f,,c,w,10.43,12.58,,,w,u,w,t,p,,d,u
e,1.89,x,,u,f,,d,u,5.29,4.64,,,w,,,f,f,,d,a
e,12.83,x,e,n,t,e,,w,10.52,17.11,,,w,,,t,,,g,a
p,8.04,p,g,n,f,e,,w,7.97,15.62,,y,w,u,w,t,p,,d,a
p,3.51,b,y,p,f,e,c,w,4.22,3.42,,k,w,,,t,e,,m,a
p,9.43,f,h,r,f,,c,w,11.54,15.29,,,w,u,w,t,g,,d,a
e,6.69,x,t,n,f,e,,w,12.49,12.76,,s,n,u,w,f,f,,d,a
p,8.23,x,g,n,f,e,,w,7.75,15.09,,y,w,u,w,t,p,,d,u
p,2.76,x,y,n,f,a,,w,5.89,3.73,,y,y,,,t,r,,h,a
e,7.07,x,t,n,f,e,,w,13.62,13.91,,s,n,u,w,f,f,,d,a
e,6.71,x,,y,f,e,,w,5.72,11.72,b,,w,u,w,t,g,,d,a
e,6.05,c,t,n,f,e,,w,11.92,11.67,,s,n,u,w,f,f,,d,a
e,15.58,x,y,n,t,e,,w,9.75,16.99,,,w,,,t,,,g,u
p,7.85,x,g,n,f,e,,w,7.72,15.45,,y,w,u,w,t,p,,d,a
e,2.23,x,,u,f,,d,w,5.87,4.85,,,w,,,f,f,,d,a
e,3.39,f,y,n,f,d,d,p,7.64,3.95,,i,n,,,f,f,,h,a
e,14.42,f,y,w,f,,,w,18.26,15.6,s,,n,,,t,m,,m,u
p,9.21,f,h,r,f,,c,w,11.82,17.02,,,w,u,w,t,g,,d,u
e,5.81,x,,y,f,e,,w,5.94,13.05,b,,y,u,w,t,g,,d,u
e,19.83,p,y,w,f,,,w,20.33,17.86,s,,n,,,t,m,,m,u
p,3.71,b,y,w,f,e,c,w,4.45,3.62,,k,w,,,t,e,,d,u
e,2.47,s,y,n,f,a,d,p,5.82,3.83,,i,n,,,f,f,,l,u
p,4.32,f,y,w,f,e,c,n,4.93,3.71,,k,w,,,t,e,,m,a
p,7.78,f,h,r,f,,c,w,10.77,14.18,,,w,u,w,t,p,,d,a
p,3.09,f,y,n,f,e,c,n,3.28,3.21,,k,w,,,t,e,,d,u
e,5.98,x,,w,f,e,,w,6.21,12.86,b,,w,u,y,t,g,,d,a
e,17.09,p,y,n,f,,,w,28.24,18.73,s,,n,,,t,m,,d,a
e,10.06,x,,n,t,,,w,10.98,19.24,b,,w,u,w,t,g,,d,u
e,16.92,p,y,n,f,,,w,26.91,20.45,s,,n,,,t,m,,d,u
p,10.12,f,h,r,f,,c,w,12.02,18.48,,,w,u,w,t,g,,d,u
p,14.6,f,h,e,f,e,,w,17.83,17.51,s,y,w,u,w,t,p,,d,u
e,10.65,x,,n,t,,,w,12.94,20.25,b,,w,u,w,t,g,,d,u
e,18.52,f,y,n,f,,,w,21.54,18.32,s,,n,,,t,m,,d,u
e,7.56,x,,y,f,e,,w,5.86,11.13,b,,y,u,y,t,g,,d,u
p,7.44,x,g,n,f,e,,w,8.62,14.57,,y,w,u,w,t,p,,d,a
p,7.6,x,g,n,f,e,,w,8.11,15.26,,y,w,u,w,t,p,,d,u
p,8.71,p,g,n,f,e,,w,8.89,18.05,,y,w,u,w,t,p,,d,u
p,3.53,x,y,n,f,a,,w,5.35,3.41,,y,n,,,t,r,,h,u
e,2.8,s,y,n,f,a,d,p,5.28,2.7,,i,n,,,f,f,,h,u
e,16.61,f,y,w,f,,,w,22.8,19.35,s,,n,,,t,m,,d,a
e,8.78,x,,n,t,,,w,11.86,22.88,b,,w,u,w,t,g,,d,a
e,2.58,x,,b,f,,d,u,6.83,5.18,,,w,,,f,f,,d,u
p,12.69,x,,g,f,e,,w,11.26,14.43,,,w,u,w,t,g,,d,u
e,5.53,x,t,n,f,e,,w,12.77,12.23,,s,n,u,w,f,f,,d,a
e,7.4,x,,w,f,e,,w,6.19,12.38,b,,y,u,y,t,g,,d,a
e,10.63,x,,n,t,,,w,12.03,16.42,b,,w,u,w,t,g,,d,a
e,7.59,f,,n,t,,,w,8.49,11.67,b,,w,u,w,t,g,,d,a
p,6.07,x,g,n,f,e,,w,7.11,12.05,,y,w,u,w,t,p,,d,u
p,7.94,b,t,w,f,e,c,w,12.53,12.18,,y,w,u,w,t,l,,d,a
p,14.26,f,g,e,f,e,,w,16.46,16.89,s,y,w,u,w,t,g,,d,u
e,1.89,x,,b,f,,d,u,5.73,3.8,,,w,,,f,f,,d,a
e,2.12,x,,b,f,,d,w,5.75,4.1,,,w,,,f,f,,d,a
e,18.02,p,y,n,f,,,w,23.85,19.06,s,,n,,,t,m,,m,u
e,14.47,x,e,n,t,e,,w,9.43,17.82,,,w,,,t,,,g,a
p,3.22,f,y,p,f,e,c,n,4.44,3.42,,k,w,,,t,e,,d,u
e,11.44,f,,n,t,,,w,11.8,20.65,b,,w,u,w,t,g,,d,a
p,3.14,x,y,n,f,a,,w,5.12,3.27,,y,n,,,t,r,,h,u
p,7.05,b,t,w,f,e,c,w,13.13,12.87,,y,w,u,w,t,e,,d,a
p,8.07,f,h,r,f,,c,w,10.68,12.45,,,w,u,w,t,g,,d,u
p,14.27,f,h,o,f,e,,w,17.32,16.73,s,y,w,u,w,t,p,,d,w
p,8.32,x,g,n,f,e,,w,7.39,14.35,,y,w,u,w,t,p,,d,u
p,3.09,b,y,p,f,e,c,w,5.01,3.35,,k,w,,,t,e,,m,a
p,6.15,p,g,n,f,e,,w,6.55,12.77,,y,w,u,w,t,p,,d,u
p,13.05,x,,g,f,e,,w,11.6,16.19,,,w,u,w,t,e,,d,u
e,14.9,x,y,n,t,e,,w,10.28,17.11,,,w,,,t,,,g,a
e,5.77,x,,w,f,e,,w,5.78,12.79,b,,y,u,y,t,g,,d,u
e,11.47,p,y,w,f,,,w,22.69,17.24,s,,n,,,t,m,,d,u
e,2.29,x,,u,f,,d,u,5.92,4.39,,,w,,,f,f,,d,w
e,11.21,f,,n,t,,,w,11.1,20.13,b,,w,u,w,t,g,,d,a
p,15.13,f,g,e,f,e,,w,18.1,18.05,s,y,w,u,w,t,g,,d,w
e,2.57,x,,b,f,,d,u,4.92,4.24,,,w,,,f,f,,d,a
e,19.05,p,y,n,f,,,w,24.36,18.77,s,,n,,,t,m,,m,a
p,2.97,f,y,n,f,e,c,w,4.33,3.33,,k,w,,,t,e,,m,u
e,7.17,x,t,n,f,e,,w,12.75,13.59,,s,n,u,w,f,f,,d,u
p,4.16,x,y,n,f,a,,w,6.03,3.57,,y,y,,,t,r,,g,a
e,1.8,f,y,n,f,d,d,p,5.65,3.08,,i,n,,,f,f,,l,a
e,16.41,x,e,n,t,e,,w,9.55,17.65,,,w,,,t,,,d,a
p,7.83,b,t,w,f,e,c,w,11.85,12.97,,y,w,u,w,t,l,,d,u
p,3.98,f,y,e,f,e,c,n,4.66,3.67,,k,w,,,t,e,,d,u
e,2.6,x,,u,f,,d,w,5.98,5.05,,,w,,,f,f,,d,w
e,16.4,x,e,n,t,e,,w,11.14,18.52,,,w,,,t,,,d,a
p,7.66,p,g,n,f,e,,w,8.46,16.49,,y,w,u,w,t,p,,d,u
p,6.82,x,g,n,f,e,,w,7.49,13.38,,y,w,u,w,t,p,,d,u
p,3.68,x,y,n,f,a,,w,5.49,3.45,,y,n,,,t,r,,d,a
p,11.73,x,,g,f,e,,w,10.63,14.45,,,w,u,w,t,g,,d,u
e,9.57,f,,n,f,s,c,b,7.93,19.92,,,u,,,f,f,,d,a
p,3.12,b,y,n,f,e,c,n,4.67,3.4,,k,w,,,t,e,,d,a
p,3.51,b,y,p,f,e,c,n,4.42,3.49,,k,w,,,t,e,,m,u
e,10.92,f,,n,t,,,w,10.55,14.43,b,,w,u,w,t,g,,d,u
p,16.4,x,h,o,f,e,,w,18.09,17.67,s,y,w,u,w,t,p,,d,w
p,3.22,x,y,y,f,a,,w,6.17,3.74,,y,y,,,t,r,,h,u
e,3.09,x,,u,f,,d,u,5.46,4.47,,,w,,,f,f,,d,a
p,12.71,x,,n,f,e,,w,11.44,16.56,,,w,u,w,t,e,,d,u
e,1.14,s,y,n,f,d,d,p,4.86,2.93,,i,n,,,f,f,,h,u
p,6.83,b,t,w,f,e,c,w,11.87,11.97,,y,w,u,w,t,e,,d,a
p,8.71,x,h,r,f,,c,w,10.93,14.14,,,w,u,w,t,p,,d,u
e,10.97,f,,n,t,,,w,13.19,23.57,b,,w,u,w,t,g,,d,u
e,10.51,f,,n,t,,,w,9.15,16.72,b,,w,u,w,t,g,,d,a
p,3.03,f,y,e,f,e,c,w,4.27,3.64,,k,w,,,t,e,,m,u
e,15.86,x,y,n,t,e,,w,9.77,17.08,,,w,,,t,,,d,a
p,7.21,b,t,w,f,e,c,w,13.46,13.24,,y,w,u,w,t,e,,d,a
p,8.13,b,t,w,f,e,c,w,13.27,13.25,,y,w,u,w,t,l,,d,u
e,10.52,x,,n,t,,,w,11.81,18.48,b,,w,u,w,t,g,,d,a
e,6.18,x,t,n,f,e,,w,12.27,12.02,,s,w,u,w,f,f,,d,a
e,14.49,p,y,w,f,,,w,21.38,18.48,s,,n,,,t,m,,d,u
e,17.6,p,y,w,f,,,w,20.98,18.82,s,,n,,,t,m,,m,u
e,21.21,f,y,n,f,,,w,30.95,21.13,s,,n,,,t,m,,m,a
p,7.34,b,t,w,f,e,c,w,11.9,12.32,,y,w,u,w,t,e,,d,a
p,18.39,f,h,e,f,e,,w,18.31,18.84,s,y,w,u,w,t,p,,d,a
p,3.69,x,y,n,f,a,,w,6.2,3.7,,y,y,,,t,r,,h,a
e,9.82,f,,n,t,,,w,10.48,16.2,b,,w,u,w,t,g,,d,u
p,17.49,x,g,o,f,e,,w,17.42,17.9,s,y,w,u,w,t,p,,d,u
e,2.82,x,,b,f,,d,w,6.57,4.17,,,w,,,f,f,,d,u
e,7.96,x,,n,t,,,w,9.06,16.28,b,,w,u,w,t,g,,d,u
e,6.79,x,,w,f,e,,w,6.35,13.25,b,,y,u,w,t,g,,d,u
p,8.83,b,t,w,f,e,c,w,13.53,12.42,,y,w,u,w,t,l,,d,u
p,3.47,f,y,e,f,e,c,w,4.26,3.37,,k,w,,,t,e,,m,a
e,10.62,f,,n,t,,,w,12.86,21.0,b,,w,u,w,t,g,,d,u
e,6.33,x,t,n,f,e,,w,13.3,13.43,,s,n,u,w,f,f,,d,a
p,15.47,x,g,o,f,e,,w,18.45,18.51,s,y,w,u,w,t,g,,d,u
e,2.03,x,,u,f,,d,u,5.52,4.0,,,w,,,f,f,,d,w
e,10.76,x,,n,t,,,w,10.41,16.52,b,,w,u,w,t,g,,d,u
e,16.72,x,e,n,t,e,,w,10.74,17.65,,,w,,,t,,,d,a
p,7.17,b,t,w,f,e,c,w,13.02,12.81,,y,w,u,w,t,l,,d,a
e,4.8,x,,y,f,e,,w,5.78,11.44,b,,y,u,y,t,g,,d,a
p,12.98,f,,n,f,e,,w,11.4,15.82,,,w,u,w,t,g,,d,u
e,5.76,x,,w,f,e,,w,5.99,12.56,b,,w,u,y,t,g,,d,u
p,4.57,f,y,p,f,e,c,w,5.31,3.85,,k,w,,,t,e,,m,a
e,10.42,x,,n,t,,,w,11.17,20.6,b,,w,u,w,t,g,,d,u
p,7.35,x,g,n,f,e,,w,8.09,12.95,,y,w,u,w,t,p,,d,u
e,14.05,x,y,n,t,e,,w,9.52,17.55,,,w,,,t,,,g,a
p,4.2,x,y,n,f,a,,w,6.48,3.9,,y,y,,,t,r,,g,u
e,1.96,s,y,n,f,a,d,p,5.67,3.49,,i,n,,,f,f,,l,u
e,15.59,x,e,n,t,e,,w,11.12,18.56,,,w,,,t,,,g,a
e,2.52,x,,b,f,,d,u,6.0,4.14,,,w,,,f,f,,d,u
p,10.9,x,h,r,f,,c,w,11.39,15.69,,,w,u,w,t,p,,d,u
e,21.32,f,y,n,f,,,w,29.85,22.65,s,,n,,,t,m,,d,u
p,3.3,f,y,n,f,e,c,w,4.59,3.4,,k,w,,,t,e,,d,u
e,4.33,c,t,n,f,e,,w,10.9,10.56,,s,w,u,w,f,f,,d,a
p,12.12,f,,n,f,e,,w,11.18,14.96,,,w,u,w,t,g,,d,u
p,7.88,x,g,n,f,e,,w,8.44,13.64,,y,w,u,w,t,p,,d,a
e,6.11,c,t,n,f,e,,w,11.51,12.59,,s,n,u,w,f,f,,d,a
e,7.51,x,,w,f,e,,w,5.92,12.29,b,,w,u,y,t,g,,d,u
e,5.03,x,t,n,f,e,,w,12.38,12.68,,s,w,u,w,f,f,,d,u
p,6.94,b,t,w,f,e,c,w,12.09,11.22,,y,w,u,w,t,e,,d,u
p,11.72,f,,n,f,e,,w,10.1,12.29,,,w,u,w,t,e,,d,a
p,12.86,x,,n,f,e,,w,11.24,14.77,,,w,u,w,t,g,,d,a
p,17.04,f,g,e,f,e,,w,18.63,18.01,s,y,w,u,w,t,p,,d,a
p,13.85,f,,n,f,e,,w,11.44,17.06,,,w,u,w,t,e,,d,u
e,2.25,x,,u,f,,d,w,6.7,4.76,,,w,,,f,f,,d,w
e,13.29,x,e,n,t,e,,w,9.14,17.1,,,w,,,t,,,d,u
p,16.86,x,g,e,f,e,,w,17.99,16.65,s,y,w,u,w,t,g,,d,u
e,6.37,x,,w,f,e,,w,6.11,12.56,b,,w,u,w,t,g,,d,u
e,2.72,x,,u,f,,d,u,6.71,4.89,,,w,,,f,f,,d,w
p,7.59,b,t,w,f,e,c,w,13.16,13.79,,y,w,u,w,t,l,,d,u
e,6.1,x,t,n,f,e,,w,12.66,12.6,,s,n,u,w,f,f,,d,a
e,6.8,x,t,n,f,e,,w,12.54,13.17,,s,n,u,w,f,f,,d,a
e,16.42,x,e,n,t,e,,w,9.94,17.43,,,w,,,t,,,d,u
p,3.27,x,y,y,f,a,,w,5.03,3.32,,y,y,,,t,r,,g,u
e,3.26,s,y,n,f,a,d,p,6.48,3.71,,i,n,,,f,f,,l,u
p,14.79,f,h,e,f,e,,w,17.49,16.97,s,y,w,u,w,t,p,,d,u
e,7.4,x,,y,f,e,,w,6.59,12.56,b,,y,u,y,t,g,,d,u
e,10.05,x,,n,t,,,w,9.64,14.78,b,,w,u,w,t,g,,d,a
p,3.18,x,y,y,f,a,,w,4.83,3.33,,y,y,,,t,r,,g,a
e,12.88,f,,n,t,,,w,13.69,22.63,b,,w,u,w,t,g,,d,a
p,7.43,p,g,n,f,e,,w,7.59,13.01,,y,w,u,w,t,p,,d,u
p,7.27,f,h,r,f,,c,w,10.73,14.45,,,w,u,w,t,g,,d,u
e,19.8,p,y,n,f,,,w,31.79,22.11,s,,n,,,t,m,,m,u
p,3.75,b,y,w,f,e,c,w,4.91,3.5,,k,w,,,t,e,,d,u
e,14.37,f,y,w,f,,,w,26.1,20.07,s,,n,,,t,m,,d,a
e,18.35,f,y,w,f,,,w,22.58,19.15,s,,n,,,t,m,,d,u
p,7.79,b,t,w,f,e,c,w,13.84,13.65,,y,w,u,w,t,l,,d,u
e,12.98,x,e,n,t,e,,w,8.35,15.57,,,w,,,t,,,g,a
e,6.25,x,,y,f,e,,w,6.1,11.27,b,,w,u,w,t,g,,d,a
e,7.04,x,,w,f,e,,w,6.09,12.46,b,,y,u,y,t,g,,d,u
p,14.47,x,h,e,f,e,,w,17.42,18.22,s,y,w,u,w,t,g,,d,u
e,2.62,x,,u,f,,d,w,7.12,4.73,,,w,,,f,f,,d,w
p,15.52,f,h,o,f,e,,w,17.53,17.14,s,y,w,u,w,t,p,,d,u
e,7.69,x,,y,f,e,,w,6.18,12.35,b,,y,u,y,t,g,,d,a
e,14.37,x,e,n,t,e,,w,9.87,18.67,,,w,,,t,,,d,u
e,15.06,p,y,w,f,,,w,17.59,19.31,s,,n,,,t,m,,m,a
e,2.18,f,y,n,f,d,d,p,5.53,3.39,,i,n,,,f,f,,l,a
p,8.31,x,g,n,f,e,,w,8.01,14.52,,y,w,u,w,t,p,,d,u
p,8.11,p,g,n,f,e,,w,7.55,16.24,,y,w,u,w,t,p,,d,a
e,16.41,f,y,n,f,,,w,25.27,18.64,s,,n,,,t,m,,d,u
p,7.6,f,h,r,f,,c,w,10.59,14.23,,,w,u,w,t,p,,d,a
p,3.11,x,y,n,f,a,,w,5.17,3.45,,y,n,,,t,r,,g,u
e,2.0,f,y,n,f,d,d,p,5.95,3.16,,i,n,,,f,f,,l,u
